44.482	36.565	30.855	26.898	23.194	19.258	14.632	10.252	6.897	3.191
44.588	36.651	30.913	26.946	23.255	19.328	14.73	10.37	7.064	3.454
44.784	36.791	31	27.033	23.364	19.455	14.88	10.539	7.278	3.775
45.025	36.936	31.065	27.093	23.459	19.56	15.02	10.736	7.53	4.098
45.214	37.091	31.136	27.165	23.543	19.651	15.139	10.891	7.766	4.427
45.281	37.16	31.17	27.201	23.583	19.705	15.223	11.01	7.921	4.67
45.4	37.261	31.222	27.259	23.669	19.817	15.361	11.22	8.196	5.066
45.501	37.334	31.273	27.307	23.729	19.886	15.451	11.342	8.343	5.277
45.654	37.45	31.358	27.382	23.817	19.987	15.573	11.488	8.501	5.495
45.828	37.556	31.429	27.441	23.891	20.075	15.68	11.639	8.686	5.748
46.093	37.742	31.525	27.529	23.997	20.191	15.843	11.895	9.011	6.09
46.297	37.933	31.594	27.584	24.063	20.266	15.942	12.053	9.197	6.317
46.541	38.106	31.677	27.665	24.158	20.367	16.075	12.235	9.414	6.575
46.669	38.216	31.739	27.712	24.225	20.439	16.166	12.345	9.548	6.741
46.79	38.364	31.831	27.767	24.318	20.534	16.279	12.484	9.718	6.965
46.945	38.523	31.925	27.83	24.396	20.629	16.409	12.676	9.987	7.294
